Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
723,723,15 Nov 2011 20:15 (+1:00),15-11-2011,"Esbjerg, Blue Water Arena",Denmark,2-1 Denmark vs Finland,1-2 Finland vs Denmark,Lost,Friendly International
724,724,22 Jan 2012 17:00 (-4:00),22-01-2012,"Port of Spain, Hasely Crawford Stadium",Trinidad and Tobago,2-3 Trinidad & Tobago vs Finland,3-2 Finland vs Trinidad & Tobago,Won,Friendly International
725,725,29 Feb 2012 20:30 (+1:00),29-02-2012,"Klagenfurt am Wörthersee, Wörthersee Stadion",Austria,3-1 Austria vs Finland,1-3 Finland vs Austria,Lost,Friendly International
726,726,26 May 2012 20:00 (+2:00),26-05-2012,"Wals-Siezenheim, Red Bull Arena",Austria,3-2 Finland vs Turkey,3-2 Finland vs Turkey,Won,Friendly International
727,727,01 Jun 2012 20:30 (+3:00),01-06-2012,"Tartu, Tamme Staadion",Estonia,1-2 Estonia vs Finland,2-1 Finland vs Estonia,Won,"Baltic Cup 2012, Semifinal"
728,728,03 Jun 2012 13:30 (+3:00),03-06-2012,"Võru, Võru Linnastaadion",Estonia,1-1 Finland vs Latvia,1-1 Finland vs Latvia,Draw,"Baltic Cup 2012, Final"
729,729,15 Aug 2012 19:45 (+1:00),15-08-2012,"Belfast, Windsor Park",United Kingdom (Northern Ireland),3-3 Northern Ireland vs Finland,3-3 Finland vs Northern Ireland,Draw,Friendly International
730,730,07 Sep 2012 21:30 (+3:00),07-09-2012,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs France,0-1 Finland vs France,Lost,"2014 FIFA World Cup Qualification, Group I"
731,731,11 Sep 2012 18:00 (+2:00),11-09-2012,"Teplice, Stadion Na Stínadlech",Czech Republic,0-1 Czech Republic vs Finland,1-0 Finland vs Czech Republic,Won,Friendly International
732,732,12 Oct 2012 18:30 (+3:00),12-10-2012,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Georgia,1-1 Finland vs Georgia,Draw,"2014 FIFA World Cup Qualification, Group I"
733,733,14 Nov 2012 19:00 (+2:00),14-11-2012,"Strovolos, G.S.P. Stadium",Cyprus,0-3 Cyprus vs Finland,3-0 Finland vs Cyprus,Won,Friendly International
734,734,23 Jan 2013 19:00 (+7:00),23-01-2013,"Chiang Mai, 700th Anniversary Stadium",Thailand,1-3 Thailand vs Finland,3-1 Finland vs Thailand,Won,"King's Cup 2013, Semifinal"
