Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
285,285,26 Aug 1970 19:00 (+2:00),26-08-1970,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Sweden,1-2 Finland vs Sweden,Lost,Nordic Football Championship 1968-1971
286,286,23 Sep 1970 19:00 (+2:00),23-09-1970,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs England,1-3 Finland vs England,Lost,Friendly International
287,287,07 Oct 1970 18:00 (+1:00),07-10-1970,"Prague, Letenský Stadion (Sparty)",Czech Republic,1-1 Czechoslovakia vs Finland,1-1 Finland vs Czechoslovakia,Draw,"UEFA Euro 1972 Qualifying, Group 1"
288,288,11 Oct 1970 15:30 (+2:00),11-10-1970,"Bucharest, Stadionul 23 August",Romania,3-0 Romania vs Finland,0-3 Finland vs Romania,Lost,"UEFA Euro 1972 Qualifying, Group 1"
289,289,20 May 1971 14:00 (+1:00),20-05-1971,"Borås, Ryavallen",Sweden,4-1 Sweden vs Finland,1-4 Finland vs Sweden,Lost,Nordic Football Championship 1968-1971
290,290,26 May 1971 19:00 (+2:00),26-05-1971,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Wales,0-1 Finland vs Wales,Lost,"UEFA Euro 1972 Qualifying, Group 1"
291,291,16 Jun 1971 19:00 (+2:00),16-06-1971,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs Czechoslovakia,0-4 Finland vs Czechoslovakia,Lost,"UEFA Euro 1972 Qualifying, Group 1"
292,292,25 Aug 1971 19:00 (+2:00),25-08-1971,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Norway,1-1 Finland vs Norway,Draw,Nordic Football Championship 1968-1971
293,293,08 Sep 1971 19:00 (+1:00),08-09-1971,"Copenhagen, Københavns Idrætspark",Denmark,0-0 Denmark vs Finland,0-0 Finland vs Denmark,Draw,Nordic Football Championship 1968-1971
294,294,22 Sep 1971 18:30 (+2:00),22-09-1971,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs Romania,0-4 Finland vs Romania,Lost,"UEFA Euro 1972 Qualifying, Group 1"
295,295,13 Oct 1971,13-10-1971,"Swansea, Vetch Field",United Kingdom (Wales),3-0 Wales vs Finland,0-3 Finland vs Wales,Lost,"UEFA Euro 1972 Qualifying, Group 1"
296,296,07 Mar 1972,07-03-1972,"The Hague, Zuiderpark Stadion",Netherlands,2-1 Netherlands* vs Finland,1-2 Finland vs Netherlands*,Lost,Friendly International
297,297,28 May 1972 15:00 (+2:00),28-05-1972,"Turku, Kupittaan Jalkapallostadion",Finland,0-0 Finland vs Norway,0-0 Finland vs Norway,Draw,Nordic Football Championship 1972-1977
298,298,07 Jun 1972 19:00 (+1:00),07-06-1972,"Copenhagen, Københavns Idrætspark",Denmark,3-0 Denmark vs Finland,0-3 Finland vs Denmark,Lost,Nordic Football Championship 1972-1977
299,299,21 Jun 1972 19:00 (+2:00),21-06-1972,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Albania,1-0 Finland vs Albania,Won,"1974 FIFA World Cup Qualification, Group 4"
300,300,16 Jul 1972,16-07-1972,"Vaasa, Hietalahden Jalkapallostadion",Finland,1-1 Finland vs Soviet Union,1-1 Finland vs Soviet Union,Draw,Friendly International
301,301,30 Jul 1972,30-07-1972,"Lübeck, Stadion an der Lohmühle",Germany,1-2 West Germany* vs Finland,2-1 Finland vs West Germany*,Won,Friendly International
302,302,20 Sep 1972 18:30 (+2:00),20-09-1972,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Romania,1-1 Finland vs Romania,Draw,"1974 FIFA World Cup Qualification, Group 4"
303,303,07 Oct 1972 16:00 (+1:00),07-10-1972,"Dresden, Dynamo Stadion",Germany,5-0 East Germany vs Finland,0-5 Finland vs East Germany,Lost,"1974 FIFA World Cup Qualification, Group 4"
304,304,04 Apr 1973,04-04-1973,"Plymouth, Home Park",United Kingdom,3-0 England* vs Finland,0-3 Finland vs England*,Lost,Friendly International
305,305,24 May 1973 19:00 (+2:00),24-05-1973,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Netherlands*,1-0 Finland vs Netherlands*,Won,Friendly International
306,306,06 Jun 1973 19:00 (+2:00),06-06-1973,"Tampere, Tampereen (Ratinan) Stadion",Finland,1-5 Finland vs East Germany,1-5 Finland vs East Germany,Lost,"1974 FIFA World Cup Qualification, Group 4"
307,307,08 Jul 1973 18:00 (+1:00),08-07-1973,"Halmstad, Örjans Vall",Sweden,1-1 Sweden vs Finland,1-1 Finland vs Sweden,Draw,Nordic Football Championship 1972-1977
308,308,29 Aug 1973 19:00 (+2:00),29-08-1973,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Sweden,1-2 Finland vs Sweden,Lost,Nordic Football Championship 1972-1977
309,309,10 Oct 1973,10-10-1973,"Tirana, Stadiumi Kombëtar Qemal Stafa",Albania,1-0 Albania vs Finland,0-1 Finland vs Albania,Lost,"1974 FIFA World Cup Qualification, Group 4"
310,310,14 Oct 1973 15:30 (+2:00),14-10-1973,"Bucharest, Stadionul 23 August",Romania,9-0 Romania vs Finland,0-9 Finland vs Romania,Lost,"1974 FIFA World Cup Qualification, Group 4"
311,311,06 Jun 1974 19:30 (+2:00),06-06-1974,"Oulu, Raatti Stadion",Finland,1-1 Finland vs Denmark,1-1 Finland vs Denmark,Draw,Nordic Football Championship 1972-1977
312,312,15 Aug 1974 19:00 (+1:00),15-08-1974,"Oslo, Ullevaal Stadion",Norway,1-2 Norway vs Finland,2-1 Finland vs Norway,Won,Nordic Football Championship 1972-1977
313,313,19 Aug 1974 19:00,19-08-1974,"Reykjavík, Laugardalsvöllur",Iceland,2-2 Iceland vs Finland,2-2 Finland vs Iceland,Draw,Friendly International
314,314,01 Sep 1974 15:00 (+2:00),01-09-1974,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Poland,1-2 Finland vs Poland,Lost,"UEFA Euro 1976 Qualifying, Group 5"
315,315,25 Sep 1974 18:30 (+2:00),25-09-1974,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs Netherlands,1-3 Finland vs Netherlands,Lost,"UEFA Euro 1976 Qualifying, Group 5"
316,316,09 Oct 1974 14:30 (+1:00),09-10-1974,"Poznań, Stadion im. 22 lipca",Poland,3-0 Poland vs Finland,0-3 Finland vs Poland,Lost,"UEFA Euro 1976 Qualifying, Group 5"
317,317,16 Apr 1975,16-04-1975,"The Hague, Zuiderpark Stadion",Netherlands,3-0 Netherlands vs Finland,0-3 Finland vs Netherlands,Lost,"UEFA Euro 1976 Qualifying, Group 5"
318,318,15 May 1975 18:30 (+2:00),15-05-1975,"Helsinki, Helsingin Olympiastadion",Finland,3-5 Finland vs Norway,3-5 Finland vs Norway,Lost,"XXI. Olympic Games Qualifying Tournament, Nordic Football Championship 1972-1977, First round"
319,319,05 Jun 1975 19:00 (+2:00),05-06-1975,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Italy,0-1 Finland vs Italy,Lost,"UEFA Euro 1976 Qualifying, Group 5"
320,320,18 Jun 1975 19:00 (+1:00),18-06-1975,"Stavanger, Stavanger Stadion",Norway,1-1 Norway vs Finland,1-1 Finland vs Norway,Draw,"XXI. Olympic Games Qualifying Tournament, First round"
321,321,25 Jun 1975 19:00 (+1:00),25-06-1975,"Copenhagen, Københavns Idrætspark",Denmark,2-0 Denmark vs Finland,0-2 Finland vs Denmark,Lost,Nordic Football Championship 1972-1977
322,322,03 Sep 1975 20:00 (+1:00),03-09-1975,"Nijmegen, Goffertstadion",Netherlands,4-1 Netherlands vs Finland,1-4 Finland vs Netherlands,Lost,"UEFA Euro 1976 Qualifying, Group 5"
323,323,27 Sep 1975 16:30 (+2:00),27-09-1975,"Rome, Stadio Olimpico",Italy,0-0 Italy vs Finland,0-0 Finland vs Italy,Draw,"UEFA Euro 1976 Qualifying, Group 5"
324,324,19 May 1976 18:30 (+2:00),19-05-1976,"Kuopio, Väinölänniemen Stadion (Vänäri)",Finland,1-0 Finland vs Switzerland,1-0 Finland vs Switzerland,Won,Friendly International
325,325,01 Jun 1976 19:00 (+2:00),01-06-1976,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Sweden,0-2 Finland vs Sweden,Lost,Nordic Football Championship 1972-1977
326,326,13 Jun 1976 19:30 (+2:00),13-06-1976,"Helsinki, Helsingin Olympiastadion",Finland,1-4 Finland vs England,1-4 Finland vs England,Lost,"1978 FIFA World Cup Qualification, Group 2"
327,327,14 Jul 1976 19:00 (+2:00),14-07-1976,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Iceland,1-0 Finland vs Iceland,Won,Friendly International
328,328,11 Aug 1976 19:00 (+1:00),11-08-1976,"Malmö, Malmö Stadion",Sweden,6-0 Sweden vs Finland,0-6 Finland vs Sweden,Lost,Nordic Football Championship 1972-1977
329,329,25 Aug 1976 19:00 (+2:00),25-08-1976,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Turkey,2-1 Finland vs Turkey,Won,Friendly International
330,330,08 Sep 1976 20:00 (+1:00),08-09-1976,"Glasgow, Hampden Park",United Kingdom (Scotland),6-0 Scotland vs Finland,0-6 Finland vs Scotland,Lost,Friendly International
331,331,22 Sep 1976 18:30 (+2:00),22-09-1976,"Helsinki, Helsingin Olympiastadion",Finland,7-1 Finland vs Luxembourg,7-1 Finland vs Luxembourg,Won,"1978 FIFA World Cup Qualification, Group 2"
332,332,13 Oct 1976 20:00 (+1:00),13-10-1976,"London, British Empire Exhibition Stadium (Wembley)",United Kingdom,2-1 England vs Finland,1-2 Finland vs England,Lost,"1978 FIFA World Cup Qualification, Group 2"
333,333,06 Apr 1977 15:00 (+3:00),06-04-1977,"Ankara, 19 Mayıs Stadı",Turkey,1-2 Turkey vs Finland,2-1 Finland vs Turkey,Won,Friendly International
334,334,26 May 1977 19:15 (+2:00),26-05-1977,"Luxembourg City, Stade Municipal",Luxembourg,0-1 Luxembourg vs Finland,1-0 Finland vs Luxembourg,Won,"1978 FIFA World Cup Qualification, Group 2"
335,335,08 Jun 1977 19:00 (+2:00),08-06-1977,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Italy,0-3 Finland vs Italy,Lost,"1978 FIFA World Cup Qualification, Group 2"
336,336,22 Jun 1977 20:00 (+2:00),22-06-1977,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Denmark,1-2 Finland vs Denmark,Lost,Nordic Football Championship 1972-1977
337,337,18 Aug 1977 19:00 (+1:00),18-08-1977,"Oslo, Ullevaal Stadion",Norway,1-1 Norway vs Finland,1-1 Finland vs Norway,Draw,Nordic Football Championship 1972-1977
338,338,07 Sep 1977 19:00 (+2:00),07-09-1977,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs West Germany,0-1 Finland vs West Germany,Lost,Friendly International
339,339,05 Oct 1977 20:00 (+1:00),05-10-1977,"Zurich, Hardturm",Switzerland,2-0 Switzerland vs Finland,0-2 Finland vs Switzerland,Lost,Friendly International
340,340,15 Oct 1977 15:00 (+1:00),15-10-1977,"Turin, Stadio Comunale",Italy,6-1 Italy vs Finland,1-6 Finland vs Italy,Lost,"1978 FIFA World Cup Qualification, Group 2"
341,341,05 Apr 1978,05-04-1978,"Yerevan, Hrazdan Central Stadium",Armenia,10-2 Soviet Union vs Finland,2-10 Finland vs Soviet Union,Lost,Friendly International
342,342,03 May 1978 18:30 (+2:00),03-05-1978,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Mexico,0-1 Finland vs Mexico,Lost,Friendly International
343,343,24 May 1978 19:00 (+2:00),24-05-1978,"Helsinki, Helsingin Olympiastadion",Finland,3-0 Finland vs Greece,3-0 Finland vs Greece,Won,"UEFA Euro 1980 Qualifying, Group 6"
344,344,28 Jun 1978 19:00 (+1:00),28-06-1978,"Borås, Ryavallen",Sweden,2-1 Sweden vs Finland,1-2 Finland vs Sweden,Lost,Nordic Football Championship 1978-1980
345,345,09 Aug 1978 19:00 (+2:00),09-08-1978,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Norway,1-1 Finland vs Norway,Draw,Nordic Football Championship 1978-1980
346,346,30 Aug 1978 16:00 (+2:00),30-08-1978,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Poland,0-1 Finland vs Poland,Lost,Friendly International
347,347,20 Sep 1978 18:30 (+2:00),20-09-1978,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Hungary,2-1 Finland vs Hungary,Won,"UEFA Euro 1980 Qualifying, Group 6"
348,348,11 Oct 1978 15:30 (+2:00),11-10-1978,"Athens, Leoforos Alexandras Stadium",Greece,8-1 Greece vs Finland,1-8 Finland vs Greece,Lost,"UEFA Euro 1980 Qualifying, Group 6"
349,349,05 Feb 1979,05-02-1979,"Baghdad, Al-Shaab Stadium",Iraq,1-0 Iraq vs Finland,0-1 Finland vs Iraq,Lost,Friendly International
350,350,07 Feb 1979,07-02-1979,"Baghdad, Al-Shaab Stadium",Iraq,2-0 Iraq vs Finland,0-2 Finland vs Iraq,Lost,Friendly International
351,351,09 Feb 1979,09-02-1979,"Manama, Isa Town Stadium",Bahrain,0-1 Bahrain vs Finland,1-0 Finland vs Bahrain,Won,Friendly International
352,352,10 May 1979,10-05-1979,"Ålborg, Ålborg Stadion",Denmark,1-1 Denmark* vs Finland,1-1 Finland vs Denmark*,Draw,"XXII. Olympic Games Qualifying Tournament, First round"
353,353,07 Jun 1979,07-06-1979,"Kotka, Kotkan Urheilukeskus",Finland,4-1 Finland vs Denmark*,4-1 Finland vs Denmark*,Won,"XXII. Olympic Games Qualifying Tournament, First round"
354,354,04 Jul 1979 19:00 (+2:00),04-07-1979,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Soviet Union,1-1 Finland vs Soviet Union,Draw,"UEFA Euro 1980 Qualifying, Group 6"
355,355,09 Aug 1979 18:30 (+2:00),09-08-1979,"Kuopio, Väinölänniemen Stadion (Vänäri)",Finland,0-1 Finland vs Norway,0-1 Finland vs Norway,Lost,"XXII. Olympic Games Qualifying Tournament, Group 4"
356,356,29 Aug 1979 18:00 (+2:00),29-08-1979,"Mikkeli, Mikkelin Urheilupuisto (Urski)",Finland,0-0 Finland vs Denmark,0-0 Finland vs Denmark,Draw,Nordic Football Championship 1978-1980
357,357,13 Sep 1979,13-09-1979,"Oberhausen, Stadion Niederrhein",Germany,2-0 West Germany* vs Finland,0-2 Finland vs West Germany*,Lost,"XXII. Olympic Games Qualifying Tournament, Group 4"
358,358,26 Sep 1979,26-09-1979,"Copenhagen, Københavns Idrætspark",Denmark,1-0 Denmark vs Finland,0-1 Finland vs Denmark,Lost,Nordic Football Championship 1978-1980
359,359,10 Oct 1979 18:30 (+2:00),10-10-1979,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs West Germany*,0-0 Finland vs West Germany*,Draw,"XXII. Olympic Games Qualifying Tournament, Group 4"
360,360,17 Oct 1979 14:00 (+1:00),17-10-1979,"Debrecen, Nagyerdei Stadion",Hungary,3-1 Hungary vs Finland,1-3 Finland vs Hungary,Lost,"UEFA Euro 1980 Qualifying, Group 6"
361,361,26 Oct 1979 19:00 (+1:00),26-10-1979,"Stavanger, Stavanger Stadion",Norway,1-1 Norway vs Finland,1-1 Finland vs Norway,Draw,"XXII. Olympic Games Qualifying Tournament, Group 4"
362,362,31 Oct 1979 19:00 (+3:00),31-10-1979,"Moscow, Lenin Central Stadium",Russia,2-2 Soviet Union vs Finland,2-2 Finland vs Soviet Union,Draw,"UEFA Euro 1980 Qualifying, Group 6"
363,363,20 Nov 1979,20-11-1979,"Mexico City, Estadio Azteca",Mexico,1-1 Mexico vs Finland,1-1 Finland vs Mexico,Draw,Friendly International
364,364,25 Nov 1979,25-11-1979,"Hamilton, National Stadium, Devonshire",Bermuda,0-2 Bermuda vs Finland,2-0 Finland vs Bermuda,Won,Friendly International
365,365,22 May 1980 18:30 (+2:00),22-05-1980,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Sweden,0-2 Finland vs Sweden,Lost,Nordic Football Championship 1978-1980
366,366,04 Jun 1980 19:00 (+2:00),04-06-1980,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Bulgaria,0-2 Finland vs Bulgaria,Lost,"1982 FIFA World Cup Qualification, Group 1"
367,367,25 Jun 1980 20:00,25-06-1980,"Reykjavík, Laugardalsvöllur",Iceland,1-1 Iceland vs Finland,1-1 Finland vs Iceland,Draw,Friendly International
368,368,21 Jul 1980 19:00 (+3:00),21-07-1980,"Minsk, Dinamo Stadium",Belarus,2-0 Yugoslavia* vs Finland,0-2 Finland vs Yugoslavia*,Lost,"XXII. Olympic Games Final Tournament 1980, Group D"
369,369,23 Jul 1980 19:00 (+3:00),23-07-1980,"Kiev, Republican Stadium",Ukraine,0-0 Iraq vs Finland,0-0 Finland vs Iraq,Draw,"XXII. Olympic Games Final Tournament 1980, Group D"
370,370,25 Jul 1980 19:00 (+3:00),25-07-1980,"Kiev, Republican Stadium",Ukraine,0-3 Costa Rica vs Finland,3-0 Finland vs Costa Rica,Won,"XXII. Olympic Games Final Tournament 1980, Group D"
371,371,21 Aug 1980 19:00 (+2:00),21-08-1980,"Oslo, Ullevaal Stadion",Norway,6-1 Norway vs Finland,1-6 Finland vs Norway,Lost,Nordic Football Championship 1978-1980
372,372,03 Sep 1980,03-09-1980,"Tirana, Stadiumi Kombëtar Qemal Stafa",Albania,2-0 Albania vs Finland,0-2 Finland vs Albania,Lost,"1982 FIFA World Cup Qualification, Group 1"
373,373,24 Sep 1980 18:30 (+2:00),24-09-1980,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Austria,0-2 Finland vs Austria,Lost,"1982 FIFA World Cup Qualification, Group 1"
374,374,30 Nov 1980,30-11-1980,"La Paz, Estadio Hernando Siles Zuazo",Bolivia,3-0 Bolivia vs Finland,0-3 Finland vs Bolivia,Lost,Friendly International
375,375,04 Dec 1980,04-12-1980,"Santa Cruz de la Sierra, Estadio Ramón Tahuichi Aguilera",Bolivia,2-2 Bolivia vs Finland,2-2 Finland vs Bolivia,Draw,Friendly International
376,376,08 Dec 1980 17:30 (-3:00),08-12-1980,"Montevideo, Estadio Luis Tróccoli",Uruguay,6-0 Uruguay vs Finland,0-6 Finland vs Uruguay,Lost,Friendly International
377,377,01 Mar 1981,01-03-1981,"Lahti, Lahden Suurhalli",Finland,2-1 Finland vs Sweden,2-1 Finland vs Sweden,Won,"Lahti Cup 1981, Final"
378,378,13 May 1981 18:00 (+3:00),13-05-1981,"Sofia, National Stadium Vasil Levski",Bulgaria,4-0 Bulgaria vs Finland,0-4 Finland vs Bulgaria,Lost,"1982 FIFA World Cup Qualification, Group 1"
379,379,24 May 1981 15:00 (+3:00),24-05-1981,"Lahti, Keskusurheilukenttä (Lahden Stadion)",Finland,0-4 Finland vs West Germany,0-4 Finland vs West Germany,Lost,"1982 FIFA World Cup Qualification, Group 1"
380,380,17 Jun 1981 19:00 (+2:00),17-06-1981,"Linz, Sportstadion der Stadt Linz (auf der Gugl)",Austria,5-1 Austria vs Finland,1-5 Finland vs Austria,Lost,"1982 FIFA World Cup Qualification, Group 1"
381,381,02 Jul 1981 19:00 (+2:00),02-07-1981,"Helsinki, Helsingin Olympiastadion",Finland,3-1 Finland vs Norway,3-1 Finland vs Norway,Won,Nordic Football Championship 1981-1983
382,382,29 Jul 1981,29-07-1981,"Halmstad, Örjans Vall",Sweden,1-0 Sweden vs Finland,0-1 Finland vs Sweden,Lost,Nordic Football Championship 1981-1983
383,383,12 Aug 1981 18:30 (+3:00),12-08-1981,"Tampere, Tammelan Stadion",Finland,1-2 Finland vs Denmark,1-2 Finland vs Denmark,Lost,Nordic Football Championship 1981-1983
384,384,02 Sep 1981 18:00 (+2:00),02-09-1981,"Kotka, Kotkan Urheilukeskus",Finland,2-1 Finland vs Albania,2-1 Finland vs Albania,Won,"1982 FIFA World Cup Qualification, Group 1"
385,385,23 Sep 1981 20:15 (+2:00),23-09-1981,"Bochum, Ruhrstadion",Germany,7-1 West Germany vs Finland,1-7 Finland vs West Germany,Lost,"1982 FIFA World Cup Qualification, Group 1"
386,386,20 Feb 1982,20-02-1982,"Lahti, Lahden Suurhalli",Finland,2-2 Finland vs Sweden,2-2 Finland vs Sweden,Draw,Friendly International
387,387,21 Feb 1982,21-02-1982,"Lahti, Lahden Suurhalli",Finland,2-1 Finland vs Sweden,2-1 Finland vs Sweden,Won,Friendly International
388,388,28 Apr 1982,28-04-1982,"Stavanger, Stavanger Stadion",Norway,1-1 Norway vs Finland,1-1 Finland vs Norway,Draw,Nordic Football Championship 1981-1983
389,389,03 Jun 1982 19:00 (+3:00),03-06-1982,"Helsinki, Helsingin Olympiastadion",Finland,1-4 Finland vs England,1-4 Finland vs England,Lost,Suomen Palloliitto 75th Anniversary Match
390,390,11 Jul 1982 18:30 (+3:00),11-07-1982,"Helsinki, Helsingin Olympiastadion",Finland,3-2 Finland vs Iceland,3-2 Finland vs Iceland,Won,Suomen Palloliitto 75th Anniversary Match
391,391,11 Aug 1982 19:00 (+2:00),11-08-1982,"Copenhagen, Københavns Idrætspark",Denmark,3-2 Denmark vs Finland,2-3 Finland vs Denmark,Won,Nordic Football Championship 1981-1983
392,392,08 Sep 1982 18:00 (+3:00),08-09-1982,"Kuopio, Väinölänniemen Stadion (Vänäri)",Finland,2-3 Finland vs Poland,2-3 Finland vs Poland,Lost,"UEFA Euro 1984 Qualifying, Group 2"
393,393,22 Sep 1982 18:30 (+3:00),22-09-1982,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Portugal,0-2 Finland vs Portugal,Lost,"UEFA Euro 1984 Qualifying, Group 2"
394,394,13 Oct 1982 19:00 (+3:00),13-10-1982,"Moscow, Lenin Central Stadium",Russia,2-0 Soviet Union vs Finland,0-2 Finland vs Soviet Union,Lost,"UEFA Euro 1984 Qualifying, Group 2"
395,395,16 Mar 1983 17:00 (+1:00),16-03-1983,"Magdeburg, Ernst Grube Stadion",Germany,3-1 East Germany vs Finland,1-3 Finland vs East Germany,Lost,Friendly International
396,396,17 Apr 1983 16:00 (+2:00),17-04-1983,"Warsaw, Stadion Dziesięciolecia Manifestu Lipcowego",Poland,1-1 Poland vs Finland,1-1 Finland vs Poland,Draw,"UEFA Euro 1984 Qualifying, Group 2"
397,397,04 May 1983 18:30 (+3:00),04-05-1983,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs Poland*,0-4 Finland vs Poland*,Lost,"XXIII. Olympic Games Qualifying Tournament, Group 2"
398,398,18 May 1983,18-05-1983,"Kokkola, Kokkolan Keskuskenttä",Finland,0-1 Finland vs East Germany*,0-1 Finland vs East Germany*,Lost,"XXIII. Olympic Games Qualifying Tournament, Group 2"
399,399,25 May 1983,25-05-1983,"Białystok, Stadion Hetman",Poland,3-2 Poland* vs Finland,2-3 Finland vs Poland*,Won,"XXIII. Olympic Games Qualifying Tournament, Group 2"
400,400,01 Jun 1983 19:00 (+3:00),01-06-1983,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Soviet Union,0-1 Finland vs Soviet Union,Lost,"UEFA Euro 1984 Qualifying, Group 2"
401,401,15 Jun 1983 18:30 (+3:00),15-06-1983,"Kuopio, Kuopion Keskuskenttä",Finland,1-1 Finland vs Norway,1-1 Finland vs Norway,Draw,"XXIII. Olympic Games Qualifying Tournament, Group 2"
402,402,22 Jun 1983 19:00 (+2:00),22-06-1983,"Aarhus, Aarhus Stadion",Denmark,3-0 Denmark vs Finland,0-3 Finland vs Denmark,Lost,"XXIII. Olympic Games Qualifying Tournament, Group 2"
403,403,24 Aug 1983,24-08-1983,"Rovaniemi, Rovaniemen Keskuskenttä",Finland,0-0 Finland vs Denmark,0-0 Finland vs Denmark,Draw,"XXIII. Olympic Games Qualifying Tournament, Group 2"
404,404,07 Sep 1983 18:30 (+3:00),07-09-1983,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Sweden,0-3 Finland vs Sweden,Lost,Nordic Football Championship 1981-1983
405,405,21 Sep 1983 21:00 (+1:00),21-09-1983,"Lisbon, Estádio José Alvalade",Portugal,5-0 Portugal vs Finland,0-5 Finland vs Portugal,Lost,"UEFA Euro 1984 Qualifying, Group 2"
406,406,05 Oct 1983,05-10-1983,"Rostock, Ostseestadion",Germany,1-0 East Germany* vs Finland,0-1 Finland vs East Germany*,Lost,"XXIII. Olympic Games Qualifying Tournament, Group 2"
407,407,26 Oct 1983 19:00 (+1:00),26-10-1983,"Moss, Melløs Stadion",Norway,4-2 Norway vs Finland,2-4 Finland vs Norway,Won,"XXIII. Olympic Games Qualifying Tournament, Group 2"
408,408,20 Feb 1984,20-02-1984,"Lahti, Lahden Suurhalli",Finland,0-1 Finland vs United States*,0-1 Finland vs United States*,Lost,Friendly International
409,409,09 Mar 1984,09-03-1984,"Adiliya, Al-Sadaqua Walsalam Stadium",Kuwait,1-0 Kuwait vs Finland,0-1 Finland vs Kuwait,Lost,Friendly International
410,410,15 May 1984 18:00 (+3:00),15-05-1984,"Kouvola, Kouvolan Keskuskenttä",Finland,1-3 Finland vs Soviet Union,1-3 Finland vs Soviet Union,Lost,Friendly International
411,411,27 May 1984 14:00 (+3:00),27-05-1984,"Pori, Porin Stadion",Finland,1-0 Finland vs Northern Ireland,1-0 Finland vs Northern Ireland,Won,"1986 FIFA World Cup Qualification, Group 3"
412,412,16 Aug 1984 18:30 (+3:00),16-08-1984,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Mexico,0-3 Finland vs Mexico,Lost,Friendly International
413,413,12 Sep 1984 18:30 (+3:00),12-09-1984,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Poland,0-2 Finland vs Poland,Lost,Friendly International
414,414,17 Oct 1984 19:45 (+1:00),17-10-1984,"London, British Empire Exhibition Stadium (Wembley)",United Kingdom,5-0 England vs Finland,0-5 Finland vs England,Lost,"1986 FIFA World Cup Qualification, Group 3"
415,415,31 Oct 1984 15:15 (+3:00),31-10-1984,"Antalya, Atatürk Stadyumu",Turkey,1-2 Turkey vs Finland,2-1 Finland vs Turkey,Won,"1986 FIFA World Cup Qualification, Group 3"
416,416,14 Nov 1984 20:00,14-11-1984,"Belfast, Windsor Park",United Kingdom (Northern Ireland),2-1 Northern Ireland vs Finland,1-2 Finland vs Northern Ireland,Lost,"1986 FIFA World Cup Qualification, Group 3"
417,417,20 Nov 1984,20-11-1984,"Jubail, Jubail Club Stadium",Saudi Arabia,2-1 Saudi Arabia vs Finland,1-2 Finland vs Saudi Arabia,Lost,Friendly International
418,418,22 Nov 1984,22-11-1984,"Al Rayyan, Khalifa International Stadium",Qatar,2-2 Qatar vs Finland,2-2 Finland vs Qatar,Draw,Friendly International
419,419,24 Nov 1984,24-11-1984,"Al Rayyan, Khalifa International Stadium",Qatar,1-1 Qatar vs Finland,1-1 Finland vs Qatar,Draw,Friendly International
420,420,23 Jan 1985 20:30 (+1:00),23-01-1985,"Alicante, Estadio José Rico Pérez",Spain,3-1 Spain vs Finland,1-3 Finland vs Spain,Lost,Friendly International
421,421,08 Feb 1985,08-02-1985,"Viña del Mar, Estadio Sausalito",Chile,2-0 Chile vs Finland,0-2 Finland vs Chile,Lost,Friendly International
422,422,14 Feb 1985 21:30 (-3:00),14-02-1985,"Montevideo, Estadio Centenario",Uruguay,2-1 Uruguay vs Finland,1-2 Finland vs Uruguay,Lost,Friendly International
423,423,17 Feb 1985,17-02-1985,"Ambato, Estadio Bellavista",Ecuador,3-1 Ecuador vs Finland,1-3 Finland vs Ecuador,Lost,Friendly International
